Species,Lat,Long
semifasciata,33.252778,126.713889
semifasciata,34.692167,127.711306
semifasciata,35.3155199,129.306624
semifasciata,33.565556,127.023611
semifasciata,33.477222,126.312778
semifasciata,34.334969,126.214236
semifasciata,30.5114137,130.452777
semifasciata,-8.9336122,116.004079
semifasciata,21.9541218,120.932106
semifasciata,27.0681252,127.869698
semifasciata,24.8301145,125.357108
semifasciata,29.3081252,129.366675
semifasciata,9.07274184,123.27089
semifasciata,24.429237,123.632584
semifasciata,31.5034185,130.562107
semifasciata,23.1740074,121.565432
semifasciata,22.0906457,121.47694
semifasciata,11.5379657,124.113529
semifasciata,22.6264739,121.448376
semifasciata,26.5382,127.85483
semifasciata,28.550047,129.713143
semifasciata,28.0758136,129.164413
semifasciata,26.2300448,127.367454
semifasciata,25.0906548,121.900433
semifasciata,24.5424749,124.082289
semifasciata,-5.4883908,130.258008
semifasciata,-6.259776,129.914074
semifasciata,34.696742,128.271389
semifasciata,26.768982,128.390024
semifasciata,33.6589419,135.342531
semifasciata,1.55785206,128.742134
semifasciata,6.36586549,122.068897
semifasciata,-8.756255042,115.1249882
semifasciata,-8.756255042,122.1249879
semifasciata,0.910411238,128.458321
semifasciata,11.57707748,123.2916545
semifasciata,12.41041078,123.2083212
semifasciata,26.0770769,127.7916544
semifasciata,28.82707679,128.958321
semifasciata,6.077077698,121.2083213
